"","Key","Anno","Mese","P1","P2","Total"
"78","Zona_1-Area_2-Sottoarea_7",2014,6,58,31,89
"79","Zona_1-Area_2-Sottoarea_7",2014,7,64,30,94
"80","Zona_1-Area_2-Sottoarea_7",2014,8,45,28,73
"81","Zona_1-Area_2-Sottoarea_7",2014,9,67,33,100
"82","Zona_1-Area_2-Sottoarea_7",2014,10,95,44,139
"83","Zona_1-Area_2-Sottoarea_7",2014,11,77,36,113
"84","Zona_1-Area_2-Sottoarea_7",2014,12,68,34,102
"85","Zona_1-Area_2-Sottoarea_7",2015,1,65,35,100
"86","Zona_1-Area_2-Sottoarea_7",2015,2,65,40,105
"87","Zona_1-Area_2-Sottoarea_7",2015,3,74,31,105
"88","Zona_1-Area_2-Sottoarea_7",2015,4,72,34,106
"89","Zona_1-Area_2-Sottoarea_7",2015,5,61,42,103
"90","Zona_1-Area_2-Sottoarea_7",2015,6,62,37,99
"91","Zona_1-Area_2-Sottoarea_7",2015,7,67,34,101
"92","Zona_1-Area_2-Sottoarea_7",2015,8,59,30,89
"93","Zona_1-Area_2-Sottoarea_7",2015,9,87,28,115
"94","Zona_1-Area_2-Sottoarea_7",2015,10,99,35,134
"95","Zona_1-Area_2-Sottoarea_7",2015,11,84,28,112
"96","Zona_1-Area_2-Sottoarea_7",2015,12,77,24,101
"97","Zona_1-Area_2-Sottoarea_7",2016,1,76,24,100
"98","Zona_1-Area_2-Sottoarea_7",2016,2,70,34,104
"99","Zona_1-Area_2-Sottoarea_7",2016,3,68,35,103
"100","Zona_1-Area_2-Sottoarea_7",2016,4,72,98,170
"101","Zona_1-Area_2-Sottoarea_7",2016,5,42,35,77
"102","Zona_1-Area_2-Sottoarea_7",2016,6,0,0,0
"103","Zona_1-Area_2-Sottoarea_7",2016,7,0,0,0
"104","Zona_1-Area_2-Sottoarea_7",2016,8,0,0,0
"105","Zona_1-Area_2-Sottoarea_7",2016,9,0,0,0
"106","Zona_1-Area_2-Sottoarea_7",2016,10,0,0,0
"107","Zona_1-Area_2-Sottoarea_7",2016,11,0,0,0
"108","Zona_1-Area_2-Sottoarea_7",2016,12,0,0,0
"109","Zona_1-Area_2-Sottoarea_8",2014,1,149,55,204
"110","Zona_1-Area_2-Sottoarea_8",2014,2,149,65,214
"111","Zona_1-Area_2-Sottoarea_8",2014,3,103,53,156
"112","Zona_1-Area_2-Sottoarea_8",2014,4,128,59,187
"113","Zona_1-Area_2-Sottoarea_8",2014,5,115,51,166
"114","Zona_1-Area_2-Sottoarea_8",2014,6,115,54,169
"115","Zona_1-Area_2-Sottoarea_8",2014,7,127,59,186
"116","Zona_1-Area_2-Sottoarea_8",2014,8,100,45,145
"117","Zona_1-Area_2-Sottoarea_8",2014,9,111,49,160
"118","Zona_1-Area_2-Sottoarea_8",2014,10,148,76,224
"119","Zona_1-Area_2-Sottoarea_8",2014,11,139,70,209
"120","Zona_1-Area_2-Sottoarea_8",2014,12,115,58,173
"121","Zona_1-Area_2-Sottoarea_8",2015,1,128,62,190
"122","Zona_1-Area_2-Sottoarea_8",2015,2,135,80,215
"123","Zona_1-Area_2-Sottoarea_8",2015,3,142,87,229
"124","Zona_1-Area_2-Sottoarea_8",2015,4,120,84,204
"125","Zona_1-Area_2-Sottoarea_8",2015,5,123,104,227
"126","Zona_1-Area_2-Sottoarea_8",2015,6,136,63,199
"127","Zona_1-Area_2-Sottoarea_8",2015,7,141,61,202
"128","Zona_1-Area_2-Sottoarea_8",2015,8,110,58,168
"129","Zona_1-Area_2-Sottoarea_8",2015,9,145,68,213
"130","Zona_1-Area_2-Sottoarea_8",2015,10,168,74,242
"131","Zona_1-Area_2-Sottoarea_8",2015,11,170,70,240
"132","Zona_1-Area_2-Sottoarea_8",2015,12,161,59,220
"133","Zona_1-Area_2-Sottoarea_8",2016,1,160,57,217
"134","Zona_1-Area_2-Sottoarea_8",2016,2,158,72,230
"135","Zona_1-Area_2-Sottoarea_8",2016,3,163,90,253
"136","Zona_1-Area_2-Sottoarea_8",2016,4,148,72,220
"137","Zona_1-Area_2-Sottoarea_8",2016,5,84,35,119
"138","Zona_1-Area_2-Sottoarea_8",2016,6,0,0,0
"139","Zona_1-Area_2-Sottoarea_8",2016,7,0,0,0
"140","Zona_1-Area_2-Sottoarea_8",2016,8,0,0,0
"141","Zona_1-Area_2-Sottoarea_8",2016,9,0,0,0
"142","Zona_1-Area_2-Sottoarea_8",2016,10,0,0,0
"143","Zona_1-Area_2-Sottoarea_8",2016,11,0,0,0
"144","Zona_1-Area_2-Sottoarea_8",2016,12,0,0,0
"145","Zona_2-Area_3-Sottoarea_15",2014,1,33,19,52
"146","Zona_2-Area_3-Sottoarea_15",2014,2,32,27,59
"147","Zona_2-Area_3-Sottoarea_15",2014,3,33,19,52
"148","Zona_2-Area_3-Sottoarea_15",2014,4,35,20,55
"149","Zona_2-Area_3-Sottoarea_15",2014,5,35,21,56
"150","Zona_2-Area_3-Sottoarea_15",2014,6,33,17,50
"151","Zona_2-Area_3-Sottoarea_15",2014,7,32,21,53
"152","Zona_2-Area_3-Sottoarea_15",2014,8,21,16,37
"153","Zona_2-Area_3-Sottoarea_15",2014,9,34,14,48
"154","Zona_2-Area_3-Sottoarea_15",2014,10,45,26,71
"155","Zona_2-Area_3-Sottoarea_15",2014,11,35,27,62
"156","Zona_2-Area_3-Sottoarea_15",2014,12,34,28,62
"157","Zona_2-Area_3-Sottoarea_15",2015,1,31,18,49
"158","Zona_2-Area_3-Sottoarea_15",2015,2,38,27,65
"159","Zona_2-Area_3-Sottoarea_15",2015,3,38,28,66
"160","Zona_2-Area_3-Sottoarea_15",2015,4,61,34,95
"161","Zona_2-Area_3-Sottoarea_15",2015,5,57,40,97
"162","Zona_2-Area_3-Sottoarea_15",2015,6,54,20,74
"163","Zona_2-Area_3-Sottoarea_15",2015,7,49,23,72
"164","Zona_2-Area_3-Sottoarea_15",2015,8,34,20,54
"165","Zona_2-Area_3-Sottoarea_15",2015,9,52,20,72
"166","Zona_2-Area_3-Sottoarea_15",2015,10,50,31,81
"167","Zona_2-Area_3-Sottoarea_15",2015,11,42,22,64
"168","Zona_2-Area_3-Sottoarea_15",2015,12,36,25,61
"169","Zona_2-Area_3-Sottoarea_15",2016,1,42,47,89
"170","Zona_2-Area_3-Sottoarea_15",2016,2,60,40,100
"171","Zona_2-Area_3-Sottoarea_15",2016,3,61,33,94
"172","Zona_2-Area_3-Sottoarea_15",2016,4,60,30,90
"173","Zona_2-Area_3-Sottoarea_15",2016,5,35,20,55
"174","Zona_2-Area_3-Sottoarea_15",2016,6,0,0,0
"175","Zona_2-Area_3-Sottoarea_15",2016,7,0,0,0
"176","Zona_2-Area_3-Sottoarea_15",2016,8,0,0,0
"177","Zona_2-Area_3-Sottoarea_15",2016,9,0,0,0
"178","Zona_2-Area_3-Sottoarea_15",2016,10,0,0,0
"179","Zona_2-Area_3-Sottoarea_15",2016,11,0,0,0
"180","Zona_2-Area_3-Sottoarea_15",2016,12,0,0,0
"181","Zona_2-Area_3-Sottoarea_16",2014,1,126,82,208
"182","Zona_2-Area_3-Sottoarea_16",2014,2,137,89,226
"183","Zona_2-Area_3-Sottoarea_16",2014,3,103,77,180
"184","Zona_2-Area_3-Sottoarea_16",2014,4,108,64,172
"185","Zona_2-Area_3-Sottoarea_16",2014,5,99,69,168
"186","Zona_2-Area_3-Sottoarea_16",2014,6,144,100,244
"187","Zona_2-Area_3-Sottoarea_16",2014,7,132,83,215
"188","Zona_2-Area_3-Sottoarea_16",2014,8,102,68,170
"189","Zona_2-Area_3-Sottoarea_16",2014,9,124,60,184
"190","Zona_2-Area_3-Sottoarea_16",2014,10,136,93,229
"191","Zona_2-Area_3-Sottoarea_16",2014,11,132,91,223
"192","Zona_2-Area_3-Sottoarea_16",2014,12,135,72,207
"193","Zona_2-Area_3-Sottoarea_16",2015,1,124,71,195
"194","Zona_2-Area_3-Sottoarea_16",2015,2,139,96,235
"195","Zona_2-Area_3-Sottoarea_16",2015,3,153,133,286
"196","Zona_2-Area_3-Sottoarea_16",2015,4,136,93,229
"197","Zona_2-Area_3-Sottoarea_16",2015,5,119,95,214
"198","Zona_2-Area_3-Sottoarea_16",2015,6,143,73,216
"199","Zona_2-Area_3-Sottoarea_16",2015,7,148,83,231
"200","Zona_2-Area_3-Sottoarea_16",2015,8,103,60,163
"201","Zona_2-Area_3-Sottoarea_16",2015,9,160,67,227
"202","Zona_2-Area_3-Sottoarea_16",2015,10,167,93,260
"203","Zona_2-Area_3-Sottoarea_16",2015,11,154,84,238
"204","Zona_2-Area_3-Sottoarea_16",2015,12,148,79,227
"205","Zona_2-Area_3-Sottoarea_16",2016,1,148,72,220
"206","Zona_2-Area_3-Sottoarea_16",2016,2,165,91,256
"207","Zona_2-Area_3-Sottoarea_16",2016,3,156,109,265
"208","Zona_2-Area_3-Sottoarea_16",2016,4,176,88,264
"209","Zona_2-Area_3-Sottoarea_16",2016,5,96,66,162
"210","Zona_2-Area_3-Sottoarea_16",2016,6,0,0,0
"211","Zona_2-Area_3-Sottoarea_16",2016,7,0,0,0
"212","Zona_2-Area_3-Sottoarea_16",2016,8,0,0,0
"213","Zona_2-Area_3-Sottoarea_16",2016,9,0,0,0
"214","Zona_2-Area_3-Sottoarea_16",2016,10,0,0,0
"215","Zona_2-Area_3-Sottoarea_16",2016,11,0,0,0
"216","Zona_2-Area_3-Sottoarea_16",2016,12,0,0,0
"217","Zona_2-Area_4-Sottoarea_17",2014,1,16,2,18
"218","Zona_2-Area_4-Sottoarea_17",2014,2,23,9,32
"219","Zona_2-Area_4-Sottoarea_17",2014,3,19,10,29
"220","Zona_2-Area_4-Sottoarea_17",2014,4,15,4,19
"221","Zona_2-Area_4-Sottoarea_17",2014,5,16,4,20
"222","Zona_2-Area_4-Sottoarea_17",2014,6,25,5,30
"223","Zona_2-Area_4-Sottoarea_17",2014,7,16,7,23
"224","Zona_2-Area_4-Sottoarea_17",2014,8,14,6,20
"225","Zona_2-Area_4-Sottoarea_17",2014,9,20,10,30
"226","Zona_2-Area_4-Sottoarea_17",2014,10,20,6,26
"227","Zona_2-Area_4-Sottoarea_17",2014,11,21,9,30
"228","Zona_2-Area_4-Sottoarea_17",2014,12,26,13,39
"229","Zona_2-Area_4-Sottoarea_17",2015,1,20,6,26
"230","Zona_2-Area_4-Sottoarea_17",2015,2,22,13,35
"231","Zona_2-Area_4-Sottoarea_17",2015,3,23,22,45
"232","Zona_2-Area_4-Sottoarea_17",2015,4,22,12,34
"233","Zona_2-Area_4-Sottoarea_17",2015,5,18,14,32
"234","Zona_2-Area_4-Sottoarea_17",2015,6,20,6,26
"235","Zona_2-Area_4-Sottoarea_17",2015,7,19,9,28
"236","Zona_2-Area_4-Sottoarea_17",2015,8,11,3,14
"237","Zona_2-Area_4-Sottoarea_17",2015,9,23,6,29
"238","Zona_2-Area_4-Sottoarea_17",2015,10,18,11,29
"239","Zona_2-Area_4-Sottoarea_17",2015,11,18,3,21
"240","Zona_2-Area_4-Sottoarea_17",2015,12,14,2,16
"241","Zona_2-Area_4-Sottoarea_17",2016,1,21,5,26
"242","Zona_2-Area_4-Sottoarea_17",2016,2,28,12,40
"243","Zona_2-Area_4-Sottoarea_17",2016,3,26,10,36
"244","Zona_2-Area_4-Sottoarea_17",2016,4,23,7,30
"245","Zona_2-Area_4-Sottoarea_17",2016,5,14,4,18
"246","Zona_2-Area_4-Sottoarea_17",2016,6,0,0,0
"247","Zona_2-Area_4-Sottoarea_17",2016,7,0,0,0
"248","Zona_2-Area_4-Sottoarea_17",2016,8,0,0,0
"249","Zona_2-Area_4-Sottoarea_17",2016,9,0,0,0
"250","Zona_2-Area_4-Sottoarea_17",2016,10,0,0,0
"251","Zona_2-Area_4-Sottoarea_17",2016,11,0,0,0
"252","Zona_2-Area_4-Sottoarea_17",2016,12,0,0,0
"253","Zona_2-Area_4-Sottoarea_18",2014,1,72,38,110
"254","Zona_2-Area_4-Sottoarea_18",2014,2,81,36,117
"255","Zona_2-Area_4-Sottoarea_18",2014,3,58,27,85
"256","Zona_2-Area_4-Sottoarea_18",2014,4,67,31,98
"257","Zona_2-Area_4-Sottoarea_18",2014,5,62,30,92
"258","Zona_2-Area_4-Sottoarea_18",2014,6,83,33,116
"259","Zona_2-Area_4-Sottoarea_18",2014,7,75,35,110
"260","Zona_2-Area_4-Sottoarea_18",2014,8,56,29,85
"261","Zona_2-Area_4-Sottoarea_18",2014,9,75,32,107
"262","Zona_2-Area_4-Sottoarea_18",2014,10,82,46,128
"263","Zona_2-Area_4-Sottoarea_18",2014,11,67,33,100
"264","Zona_2-Area_4-Sottoarea_18",2014,12,73,41,114
"265","Zona_2-Area_4-Sottoarea_18",2015,1,74,32,106
"266","Zona_2-Area_4-Sottoarea_18",2015,2,87,41,128
"267","Zona_2-Area_4-Sottoarea_18",2015,3,94,53,147
"268","Zona_2-Area_4-Sottoarea_18",2015,4,86,37,123
"269","Zona_2-Area_4-Sottoarea_18",2015,5,76,43,119
"270","Zona_2-Area_4-Sottoarea_18",2015,6,100,36,136
"271","Zona_2-Area_4-Sottoarea_18",2015,7,103,36,139
"272","Zona_2-Area_4-Sottoarea_18",2015,8,69,29,98
"273","Zona_2-Area_4-Sottoarea_18",2015,9,107,37,144
"274","Zona_2-Area_4-Sottoarea_18",2015,10,116,47,163
"275","Zona_2-Area_4-Sottoarea_18",2015,11,115,41,156
"276","Zona_2-Area_4-Sottoarea_18",2015,12,99,36,135
"277","Zona_2-Area_4-Sottoarea_18",2016,1,97,36,133
"278","Zona_2-Area_4-Sottoarea_18",2016,2,163,42,205
"279","Zona_2-Area_4-Sottoarea_18",2016,3,161,49,210
"280","Zona_2-Area_4-Sottoarea_18",2016,4,148,47,195
"281","Zona_2-Area_4-Sottoarea_18",2016,5,83,30,113
"282","Zona_2-Area_4-Sottoarea_18",2016,6,0,0,0
"283","Zona_2-Area_4-Sottoarea_18",2016,7,0,0,0
"284","Zona_2-Area_4-Sottoarea_18",2016,8,0,0,0
"285","Zona_2-Area_4-Sottoarea_18",2016,9,0,0,0
"286","Zona_2-Area_4-Sottoarea_18",2016,10,0,0,0
"287","Zona_2-Area_4-Sottoarea_18",2016,11,0,0,0
"288","Zona_2-Area_4-Sottoarea_18",2016,12,0,0,0
"289","Zona_2-Area_4-Sottoarea_19",2014,1,43,22,65
"290","Zona_2-Area_4-Sottoarea_19",2014,2,41,26,67
"291","Zona_2-Area_4-Sottoarea_19",2014,3,34,23,57
"292","Zona_2-Area_4-Sottoarea_19",2014,4,39,23,62
"293","Zona_2-Area_4-Sottoarea_19",2014,5,32,25,57
"294","Zona_2-Area_4-Sottoarea_19",2014,6,49,25,74
"295","Zona_2-Area_4-Sottoarea_19",2014,7,40,21,61
"296","Zona_2-Area_4-Sottoarea_19",2014,8,29,19,48
"297","Zona_2-Area_4-Sottoarea_19",2014,9,31,12,43
"298","Zona_2-Area_4-Sottoarea_19",2014,10,53,36,89
"299","Zona_2-Area_4-Sottoarea_19",2014,11,38,37,75
"300","Zona_2-Area_4-Sottoarea_19",2014,12,43,39,82
"301","Zona_2-Area_4-Sottoarea_19",2015,1,40,25,65
"302","Zona_2-Area_4-Sottoarea_19",2015,2,44,38,82
"303","Zona_2-Area_4-Sottoarea_19",2015,3,50,48,98
"304","Zona_2-Area_4-Sottoarea_19",2015,4,51,39,90
"305","Zona_2-Area_4-Sottoarea_19",2015,5,51,39,90
"306","Zona_2-Area_4-Sottoarea_19",2015,6,57,27,84
"307","Zona_2-Area_4-Sottoarea_19",2015,7,60,49,109
"308","Zona_2-Area_4-Sottoarea_19",2015,8,35,31,66
"309","Zona_2-Area_4-Sottoarea_19",2015,9,58,38,96
"310","Zona_2-Area_4-Sottoarea_19",2015,10,59,40,99
"311","Zona_2-Area_4-Sottoarea_19",2015,11,60,50,110
"312","Zona_2-Area_4-Sottoarea_19",2015,12,52,44,96
"313","Zona_2-Area_4-Sottoarea_19",2016,1,67,33,100
"314","Zona_2-Area_4-Sottoarea_19",2016,2,86,53,139
"315","Zona_2-Area_4-Sottoarea_19",2016,3,97,42,139
"316","Zona_2-Area_4-Sottoarea_19",2016,4,89,33,122
"317","Zona_2-Area_4-Sottoarea_19",2016,5,47,23,70
"318","Zona_2-Area_4-Sottoarea_19",2016,6,0,0,0
"319","Zona_2-Area_4-Sottoarea_19",2016,7,0,0,0
"320","Zona_2-Area_4-Sottoarea_19",2016,8,0,0,0
"321","Zona_2-Area_4-Sottoarea_19",2016,9,0,0,0
"322","Zona_2-Area_4-Sottoarea_19",2016,10,0,0,0
"323","Zona_2-Area_4-Sottoarea_19",2016,11,0,0,0
"324","Zona_2-Area_4-Sottoarea_19",2016,12,0,0,0
"325","Zona_2-Area_4-Sottoarea_20",2014,1,0,0,0
"326","Zona_2-Area_4-Sottoarea_20",2014,2,0,0,0
"327","Zona_2-Area_4-Sottoarea_20",2014,3,0,0,0
"328","Zona_2-Area_4-Sottoarea_20",2014,4,0,0,0
"329","Zona_2-Area_4-Sottoarea_20",2014,5,1,1,2
"330","Zona_2-Area_4-Sottoarea_20",2014,6,1,1,2
"331","Zona_2-Area_4-Sottoarea_20",2014,7,0,0,0
"332","Zona_2-Area_4-Sottoarea_20",2014,8,0,0,0
"333","Zona_2-Area_4-Sottoarea_20",2014,9,0,0,0
"334","Zona_2-Area_4-Sottoarea_20",2014,10,0,0,0
"335","Zona_2-Area_4-Sottoarea_20",2014,11,1,0,1
"336","Zona_2-Area_4-Sottoarea_20",2014,12,0,0,0
"337","Zona_2-Area_4-Sottoarea_20",2015,1,0,0,0
"338","Zona_2-Area_4-Sottoarea_20",2015,2,1,0,1
"339","Zona_2-Area_4-Sottoarea_20",2015,3,1,0,1
"340","Zona_2-Area_4-Sottoarea_20",2015,4,0,0,0
"341","Zona_2-Area_4-Sottoarea_20",2015,5,0,0,0
"342","Zona_2-Area_4-Sottoarea_20",2015,6,0,0,0
"343","Zona_2-Area_4-Sottoarea_20",2015,7,0,0,0
"344","Zona_2-Area_4-Sottoarea_20",2015,8,0,0,0
"345","Zona_2-Area_4-Sottoarea_20",2015,9,1,0,1
"346","Zona_2-Area_4-Sottoarea_20",2015,10,0,0,0
"347","Zona_2-Area_4-Sottoarea_20",2015,11,0,0,0
"348","Zona_2-Area_4-Sottoarea_20",2015,12,0,0,0
"349","Zona_2-Area_4-Sottoarea_20",2016,1,1,0,1
"350","Zona_2-Area_4-Sottoarea_20",2016,2,0,0,0
"351","Zona_2-Area_4-Sottoarea_20",2016,3,0,0,0
"352","Zona_2-Area_4-Sottoarea_20",2016,4,0,0,0
"353","Zona_2-Area_4-Sottoarea_20",2016,5,0,0,0
"354","Zona_2-Area_4-Sottoarea_20",2016,6,0,0,0
"355","Zona_2-Area_4-Sottoarea_20",2016,7,0,0,0
"356","Zona_2-Area_4-Sottoarea_20",2016,8,0,0,0
"357","Zona_2-Area_4-Sottoarea_20",2016,9,0,0,0
"358","Zona_2-Area_4-Sottoarea_20",2016,10,0,0,0
"359","Zona_2-Area_4-Sottoarea_20",2016,11,0,0,0
"360","Zona_2-Area_4-Sottoarea_20",2016,12,0,0,0
"361","Zona_3-Area_5-Sottoarea_30",2014,1,81,29,110
"362","Zona_3-Area_5-Sottoarea_30",2014,2,80,34,114
"363","Zona_3-Area_5-Sottoarea_30",2014,3,66,31,97
"364","Zona_3-Area_5-Sottoarea_30",2014,4,77,34,111
"365","Zona_3-Area_5-Sottoarea_30",2014,5,74,31,105
"366","Zona_3-Area_5-Sottoarea_30",2014,6,82,29,111
"367","Zona_3-Area_5-Sottoarea_30",2014,7,82,32,114
"368","Zona_3-Area_5-Sottoarea_30",2014,8,53,21,74
"369","Zona_3-Area_5-Sottoarea_30",2014,9,77,29,106
"370","Zona_3-Area_5-Sottoarea_30",2014,10,81,43,124
"371","Zona_3-Area_5-Sottoarea_30",2014,11,74,40,114
"372","Zona_3-Area_5-Sottoarea_30",2014,12,67,40,107
"373","Zona_3-Area_5-Sottoarea_30",2015,1,75,30,105
"374","Zona_3-Area_5-Sottoarea_30",2015,2,83,39,122
"375","Zona_3-Area_5-Sottoarea_30",2015,3,80,50,130
"376","Zona_3-Area_5-Sottoarea_30",2015,4,89,39,128
"377","Zona_3-Area_5-Sottoarea_30",2015,5,89,51,140
"378","Zona_3-Area_5-Sottoarea_30",2015,6,98,38,136
"379","Zona_3-Area_5-Sottoarea_30",2015,7,84,37,121
"380","Zona_3-Area_5-Sottoarea_30",2015,8,59,26,85
"381","Zona_3-Area_5-Sottoarea_30",2015,9,97,32,129
"382","Zona_3-Area_5-Sottoarea_30",2015,10,115,37,152
"383","Zona_3-Area_5-Sottoarea_30",2015,11,121,38,159
"384","Zona_3-Area_5-Sottoarea_30",2015,12,104,30,134
"385","Zona_3-Area_5-Sottoarea_30",2016,1,117,34,151
"386","Zona_3-Area_5-Sottoarea_30",2016,2,143,49,192
"387","Zona_3-Area_5-Sottoarea_30",2016,3,155,47,202
"388","Zona_3-Area_5-Sottoarea_30",2016,4,141,38,179
"389","Zona_3-Area_5-Sottoarea_30",2016,5,78,26,104
"390","Zona_3-Area_5-Sottoarea_30",2016,6,0,0,0
"391","Zona_3-Area_5-Sottoarea_30",2016,7,0,0,0
"392","Zona_3-Area_5-Sottoarea_30",2016,8,0,0,0
"393","Zona_3-Area_5-Sottoarea_30",2016,9,0,0,0
"394","Zona_3-Area_5-Sottoarea_30",2016,10,0,0,0
"395","Zona_3-Area_5-Sottoarea_30",2016,11,0,0,0
"396","Zona_3-Area_5-Sottoarea_30",2016,12,0,0,0
"397","Zona_3-Area_5-Sottoarea_31",2014,1,114,51,165
"398","Zona_3-Area_5-Sottoarea_31",2014,2,115,51,166
"399","Zona_3-Area_5-Sottoarea_31",2014,3,89,44,133
"400","Zona_3-Area_5-Sottoarea_31",2014,4,107,49,156
"401","Zona_3-Area_5-Sottoarea_31",2014,5,107,48,155
"402","Zona_3-Area_5-Sottoarea_31",2014,6,110,53,163
"403","Zona_3-Area_5-Sottoarea_31",2014,7,114,46,160
"404","Zona_3-Area_5-Sottoarea_31",2014,8,76,34,110
"405","Zona_3-Area_5-Sottoarea_31",2014,9,132,48,180
"406","Zona_3-Area_5-Sottoarea_31",2014,10,155,72,227
"407","Zona_3-Area_5-Sottoarea_31",2014,11,141,53,194
"408","Zona_3-Area_5-Sottoarea_31",2014,12,125,56,181
"409","Zona_3-Area_5-Sottoarea_31",2015,1,124,60,184
"410","Zona_3-Area_5-Sottoarea_31",2015,2,142,69,211
