"","Zona","Area","Sottoarea","Categoria_prodotto","Data","Vendite","Key","GiornoDelMese","GiorniDellaSettimana","GiornoDellAnno","Mese","Anno"
"6834","Zona_1","Area_2","Sottoarea_8","Prodotto_2","2016-01-14",1,"Zona_1-Area_2-Sottoarea_8",14,5,14,1,2016
"246447","Zona_9","Area_27","Sottoarea_61","Prodotto_2","2014-08-25",13,"Zona_9-Area_27-Sottoarea_61",25,2,237,8,2014
"104275","Zona_19","Area_52","Sottoarea_118","Prodotto_2","2016-01-15",1,"Zona_19-Area_52-Sottoarea_118",15,6,15,1,2016
"94140","Zona_18","Area_50","Sottoarea_113","Prodotto_1","2014-06-29",3,"Zona_18-Area_50-Sottoarea_113",29,1,180,6,2014
"236910","Zona_8","Area_20","Sottoarea_56","Prodotto_1","2014-09-27",0,"Zona_8-Area_20-Sottoarea_56",27,7,270,9,2014
"161898","Zona_24","Area_65","Sottoarea_129","Prodotto_1","2014-03-19",0,"Zona_24-Area_65-Sottoarea_129",19,4,78,3,2014
"157001","Zona_23","Area_63","Sottoarea_126","Prodotto_1","2015-02-05",9,"Zona_23-Area_63-Sottoarea_126",5,5,36,2,2015
"119273","Zona_20","Area_54","Sottoarea_41","Prodotto_2","2014-03-24",0,"Zona_20-Area_54-Sottoarea_41",24,2,83,3,2014
"120852","Zona_20","Area_54","Sottoarea_42","Prodotto_1","2016-03-02",16,"Zona_20-Area_54-Sottoarea_42",2,4,62,3,2016
"145611","Zona_22","Area_69","Sottoarea_133","Prodotto_2","2014-11-17",3,"Zona_22-Area_69-Sottoarea_133",17,2,321,11,2014
"243483","Zona_8","Area_21","Sottoarea_59","Prodotto_2","2016-01-23",2,"Zona_8-Area_21-Sottoarea_59",23,7,23,1,2016
"13880","Zona_10","Area_25","Sottoarea_29","Prodotto_2","2016-04-09",2,"Zona_10-Area_25-Sottoarea_29",9,7,100,4,2016
"156084","Zona_23","Area_63","Sottoarea_125","Prodotto_2","2014-12-20",0,"Zona_23-Area_63-Sottoarea_125",20,7,354,12,2014
"16463","Zona_10","Area_26","Sottoarea_67","Prodotto_1","2016-03-13",0,"Zona_10-Area_26-Sottoarea_67",13,1,73,3,2016
"28733","Zona_12","Area_32","Sottoarea_140","Prodotto_2","2014-01-23",5,"Zona_12-Area_32-Sottoarea_140",23,5,23,1,2014
"213086","Zona_5","Area_9","Sottoarea_81","Prodotto_1","2016-03-16",5,"Zona_5-Area_9-Sottoarea_81",16,4,76,3,2016
"209897","Zona_5","Area_11","Sottoarea_105","Prodotto_2","2014-08-15",0,"Zona_5-Area_11-Sottoarea_105",15,6,227,8,2014
"95622","Zona_18","Area_50","Sottoarea_113","Prodotto_2","2016-03-02",5,"Zona_18-Area_50-Sottoarea_113",2,4,62,3,2016
"36720","Zona_14","Area_35","Sottoarea_70","Prodotto_1","2014-06-29",0,"Zona_14-Area_35-Sottoarea_70",29,1,180,6,2014
"4981","Zona_1","Area_2","Sottoarea_7","Prodotto_2","2015-09-23",1,"Zona_1-Area_2-Sottoarea_7",23,4,266,9,2015
"44462","Zona_14","Area_36","Sottoarea_74","Prodotto_2","2014-04-02",4,"Zona_14-Area_36-Sottoarea_74",2,4,92,4,2014
"59542","Zona_15","Area_40","Sottoarea_88","Prodotto_1","2015-01-17",3,"Zona_15-Area_40-Sottoarea_88",17,7,17,1,2015
"37016","Zona_14","Area_35","Sottoarea_70","Prodotto_1","2015-04-21",3,"Zona_14-Area_35-Sottoarea_70",21,3,111,4,2015
"42051","Zona_14","Area_36","Sottoarea_73","Prodotto_1","2014-10-18",2,"Zona_14-Area_36-Sottoarea_73",18,7,291,10,2014
"95853","Zona_18","Area_51","Sottoarea_114","Prodotto_1","2014-06-02",0,"Zona_18-Area_51-Sottoarea_114",2,2,153,6,2014
"13642","Zona_10","Area_25","Sottoarea_29","Prodotto_2","2015-08-15",0,"Zona_10-Area_25-Sottoarea_29",15,7,227,8,2015
"101462","Zona_19","Area_52","Sottoarea_117","Prodotto_1","2015-06-26",1,"Zona_19-Area_52-Sottoarea_117",26,6,177,6,2015
"20248","Zona_11","Area_29","Sottoarea_46","Prodotto_2","2014-08-26",3,"Zona_11-Area_29-Sottoarea_46",26,3,238,8,2014
"160230","Zona_23","Area_64","Sottoarea_128","Prodotto_1","2014-05-30",2,"Zona_23-Area_64-Sottoarea_128",30,6,150,5,2014
"101529","Zona_19","Area_52","Sottoarea_117","Prodotto_1","2015-09-01",1,"Zona_19-Area_52-Sottoarea_117",1,3,244,9,2015
"37519","Zona_14","Area_35","Sottoarea_70","Prodotto_2","2014-04-19",0,"Zona_14-Area_35-Sottoarea_70",19,7,109,4,2014
"79012","Zona_17","Area_46","Sottoarea_52","Prodotto_1","2015-12-13",0,"Zona_17-Area_46-Sottoarea_52",13,1,347,12,2015
"46412","Zona_14","Area_37","Sottoarea_75","Prodotto_2","2014-10-29",2,"Zona_14-Area_37-Sottoarea_75",29,4,302,10,2014
"127825","Zona_20","Area_56","Sottoarea_104","Prodotto_1","2016-03-15",7,"Zona_20-Area_56-Sottoarea_104",15,3,75,3,2016
"18570","Zona_11","Area_29","Sottoarea_45","Prodotto_2","2014-10-27",3,"Zona_11-Area_29-Sottoarea_45",27,2,300,10,2014
"33719","Zona_13","Area_34","Sottoarea_64","Prodotto_1","2015-10-21",11,"Zona_13-Area_34-Sottoarea_64",21,4,294,10,2015
"157152","Zona_23","Area_63","Sottoarea_126","Prodotto_1","2015-07-06",6,"Zona_23-Area_63-Sottoarea_126",6,2,187,7,2015
"165321","Zona_24","Area_67","Sottoarea_131","Prodotto_1","2014-01-21",6,"Zona_24-Area_67-Sottoarea_131",21,3,21,1,2014
"10611","Zona_10","Area_24","Sottoarea_28","Prodotto_1","2014-06-20",12,"Zona_10-Area_24-Sottoarea_28",20,6,171,6,2014
"22997","Zona_11","Area_30","Sottoarea_84","Prodotto_1","2015-01-12",8,"Zona_11-Area_30-Sottoarea_84",12,2,12,1,2015
"106828","Zona_19","Area_53","Sottoarea_120","Prodotto_1","2015-11-19",8,"Zona_19-Area_53-Sottoarea_120",19,5,323,11,2015
"37156","Zona_14","Area_35","Sottoarea_70","Prodotto_1","2015-09-08",4,"Zona_14-Area_35-Sottoarea_70",8,3,251,9,2015
"241650","Zona_8","Area_21","Sottoarea_58","Prodotto_2","2015-10-22",4,"Zona_8-Area_21-Sottoarea_58",22,5,295,10,2015
"136719","Zona_21","Area_59","Sottoarea_121","Prodotto_2","2014-05-09",1,"Zona_21-Area_59-Sottoarea_121",9,6,129,5,2014
"189253","Zona_3","Area_5","Sottoarea_31","Prodotto_2","2015-04-08",3,"Zona_3-Area_5-Sottoarea_31",8,4,98,4,2015
"3464","Zona_1","Area_1","Sottoarea_6","Prodotto_2","2016-05-03",0,"Zona_1-Area_1-Sottoarea_6",3,3,124,5,2016
"199199","Zona_4","Area_7","Sottoarea_37","Prodotto_1","2016-04-18",11,"Zona_4-Area_7-Sottoarea_37",18,2,109,4,2016
"174270","Zona_26","Area_71","Sottoarea_99","Prodotto_1","2014-09-27",1,"Zona_26-Area_71-Sottoarea_99",27,7,270,9,2014
"231351","Zona_7","Area_18","Sottoarea_137","Prodotto_2","2016-03-11",4,"Zona_7-Area_18-Sottoarea_137",11,6,71,3,2016
"96037","Zona_18","Area_51","Sottoarea_114","Prodotto_1","2014-12-03",17,"Zona_18-Area_51-Sottoarea_114",3,4,337,12,2014
"120072","Zona_20","Area_54","Sottoarea_42","Prodotto_1","2014-01-12",1,"Zona_20-Area_54-Sottoarea_42",12,1,12,1,2014
"27047","Zona_12","Area_31","Sottoarea_44","Prodotto_2","2014-03-18",4,"Zona_12-Area_31-Sottoarea_44",18,3,77,3,2014
"18241","Zona_11","Area_29","Sottoarea_45","Prodotto_1","2016-04-20",4,"Zona_11-Area_29-Sottoarea_45",20,4,111,4,2016
"31063","Zona_13","Area_33","Sottoarea_10","Prodotto_2","2015-09-05",0,"Zona_13-Area_33-Sottoarea_10",5,7,248,9,2015
"59810","Zona_15","Area_40","Sottoarea_88","Prodotto_1","2015-10-12",12,"Zona_15-Area_40-Sottoarea_88",12,2,285,10,2015
"185590","Zona_27","Area_74","Sottoarea_145","Prodotto_2","2014-10-07",3,"Zona_27-Area_74-Sottoarea_145",7,3,280,10,2014
"7478","Zona_10","Area_23","Sottoarea_22","Prodotto_1","2015-06-02",1,"Zona_10-Area_23-Sottoarea_22",2,3,153,6,2015
"57281","Zona_15","Area_39","Sottoarea_86","Prodotto_2","2016-01-01",0,"Zona_15-Area_39-Sottoarea_86",1,6,1,1,2016
"3315","Zona_1","Area_1","Sottoarea_6","Prodotto_2","2015-12-06",0,"Zona_1-Area_1-Sottoarea_6",6,1,340,12,2015
"191891","Zona_3","Area_6","Sottoarea_33","Prodotto_1","2015-05-06",2,"Zona_3-Area_6-Sottoarea_33",6,4,126,5,2015
"189404","Zona_3","Area_5","Sottoarea_31","Prodotto_2","2015-09-06",1,"Zona_3-Area_5-Sottoarea_31",6,1,249,9,2015
"240478","Zona_8","Area_21","Sottoarea_58","Prodotto_1","2014-12-24",5,"Zona_8-Area_21-Sottoarea_58",24,4,358,12,2014
"247984","Zona_9","Area_28","Sottoarea_62","Prodotto_2","2014-02-03",3,"Zona_9-Area_28-Sottoarea_62",3,2,34,2,2014
"94649","Zona_18","Area_50","Sottoarea_113","Prodotto_1","2015-11-20",11,"Zona_18-Area_50-Sottoarea_113",20,6,324,11,2015
"217654","Zona_6","Area_12","Sottoarea_25","Prodotto_1","2014-06-03",7,"Zona_6-Area_12-Sottoarea_25",3,3,154,6,2014
"183039","Zona_27","Area_73","Sottoarea_143","Prodotto_1","2014-12-05",2,"Zona_27-Area_73-Sottoarea_143",5,6,339,12,2014
"121200","Zona_20","Area_54","Sottoarea_42","Prodotto_2","2014-09-27",4,"Zona_20-Area_54-Sottoarea_42",27,7,270,9,2014
"142750","Zona_22","Area_69","Sottoarea_132","Prodotto_1","2014-03-11",5,"Zona_22-Area_69-Sottoarea_132",11,3,70,3,2014
"229401","Zona_7","Area_17","Sottoarea_139","Prodotto_2","2015-08-14",3,"Zona_7-Area_17-Sottoarea_139",14,6,226,8,2015
"168732","Zona_25","Area_60","Sottoarea_26","Prodotto_2","2016-04-01",4,"Zona_25-Area_60-Sottoarea_26",1,6,92,4,2016
"145251","Zona_22","Area_69","Sottoarea_133","Prodotto_1","2016-04-10",0,"Zona_22-Area_69-Sottoarea_133",10,1,101,4,2016
"73512","Zona_16","Area_44","Sottoarea_91","Prodotto_1","2015-03-08",0,"Zona_16-Area_44-Sottoarea_91",8,1,67,3,2015
"2162","Zona_1","Area_1","Sottoarea_6","Prodotto_1","2015-02-26",1,"Zona_1-Area_1-Sottoarea_6",26,5,57,2,2015
"153670","Zona_23","Area_62","Sottoarea_124","Prodotto_1","2015-07-04",1,"Zona_23-Area_62-Sottoarea_124",4,7,185,7,2015
"38830","Zona_14","Area_35","Sottoarea_71","Prodotto_1","2015-07-04",1,"Zona_14-Area_35-Sottoarea_71",4,7,185,7,2015
"144365","Zona_22","Area_69","Sottoarea_132","Prodotto_2","2016-03-25",3,"Zona_22-Area_69-Sottoarea_132",25,6,85,3,2016
"23215","Zona_11","Area_30","Sottoarea_84","Prodotto_1","2015-08-18",5,"Zona_11-Area_30-Sottoarea_84",18,3,230,8,2015
"205790","Zona_5","Area_10","Sottoarea_96","Prodotto_1","2015-04-15",9,"Zona_5-Area_10-Sottoarea_96",15,4,105,4,2015
"162430","Zona_24","Area_65","Sottoarea_129","Prodotto_1","2015-09-02",9,"Zona_24-Area_65-Sottoarea_129",2,4,245,9,2015
"235931","Zona_8","Area_19","Sottoarea_55","Prodotto_2","2014-06-10",2,"Zona_8-Area_19-Sottoarea_55",10,3,161,6,2014
"150463","Zona_22","Area_70","Sottoarea_136","Prodotto_1","2016-04-02",0,"Zona_22-Area_70-Sottoarea_136",2,7,93,4,2016
"95262","Zona_18","Area_50","Sottoarea_113","Prodotto_2","2015-03-08",2,"Zona_18-Area_50-Sottoarea_113",8,1,67,3,2015
"150364","Zona_22","Area_70","Sottoarea_136","Prodotto_1","2015-12-25",0,"Zona_22-Area_70-Sottoarea_136",25,6,359,12,2015
"145691","Zona_22","Area_69","Sottoarea_133","Prodotto_2","2015-02-05",3,"Zona_22-Area_69-Sottoarea_133",5,5,36,2,2015
"127056","Zona_20","Area_56","Sottoarea_104","Prodotto_1","2014-02-05",4,"Zona_20-Area_56-Sottoarea_104",5,4,36,2,2014
"201474","Zona_4","Area_8","Sottoarea_38","Prodotto_2","2015-05-19",2,"Zona_4-Area_8-Sottoarea_38",19,3,139,5,2015
"50437","Zona_14","Area_38","Sottoarea_77","Prodotto_2","2016-04-26",8,"Zona_14-Area_38-Sottoarea_77",26,3,117,4,2016
"65578","Zona_16","Area_42","Sottoarea_3","Prodotto_2","2014-11-24",1,"Zona_16-Area_42-Sottoarea_3",24,2,328,11,2014
"153349","Zona_23","Area_62","Sottoarea_124","Prodotto_1","2014-08-17",0,"Zona_23-Area_62-Sottoarea_124",17,1,229,8,2014
"20978","Zona_11","Area_30","Sottoarea_83","Prodotto_1","2014-04-08",5,"Zona_11-Area_30-Sottoarea_83",8,3,98,4,2014
"91892","Zona_18","Area_49","Sottoarea_111","Prodotto_2","2015-06-26",11,"Zona_18-Area_49-Sottoarea_111",26,6,177,6,2015
"81803","Zona_17","Area_47","Sottoarea_101","Prodotto_1","2014-01-23",3,"Zona_17-Area_47-Sottoarea_101",23,5,23,1,2014
"87423","Zona_18","Area_48","Sottoarea_109","Prodotto_1","2015-02-27",9,"Zona_18-Area_48-Sottoarea_109",27,6,58,2,2015
"18950","Zona_11","Area_29","Sottoarea_45","Prodotto_2","2015-11-11",8,"Zona_11-Area_29-Sottoarea_45",11,4,315,11,2015
"169488","Zona_25","Area_60","Sottoarea_27","Prodotto_1","2015-12-09",5,"Zona_25-Area_60-Sottoarea_27",9,4,343,12,2015
"167112","Zona_25","Area_60","Sottoarea_26","Prodotto_1","2014-03-13",5,"Zona_25-Area_60-Sottoarea_26",13,5,72,3,2014
"189119","Zona_3","Area_5","Sottoarea_31","Prodotto_2","2014-11-25",2,"Zona_3-Area_5-Sottoarea_31",25,3,329,11,2014
"170262","Zona_25","Area_60","Sottoarea_27","Prodotto_2","2015-09-04",1,"Zona_25-Area_60-Sottoarea_27",4,6,247,9,2015
"186041","Zona_27","Area_74","Sottoarea_145","Prodotto_2","2016-01-01",0,"Zona_27-Area_74-Sottoarea_145",1,6,1,1,2016
"90746","Zona_18","Area_49","Sottoarea_111","Prodotto_1","2014-09-23",10,"Zona_18-Area_49-Sottoarea_111",23,3,266,9,2014
"93906","Zona_18","Area_50","Sottoarea_112","Prodotto_2","2016-03-26",1,"Zona_18-Area_50-Sottoarea_112",26,7,86,3,2016
"80518","Zona_17","Area_46","Sottoarea_53","Prodotto_1","2015-04-23",8,"Zona_17-Area_46-Sottoarea_53",23,5,113,4,2015
"69300","Zona_16","Area_43","Sottoarea_47","Prodotto_2","2015-07-24",2,"Zona_16-Area_43-Sottoarea_47",24,6,205,7,2015
"120410","Zona_20","Area_54","Sottoarea_42","Prodotto_1","2014-12-16",9,"Zona_20-Area_54-Sottoarea_42",16,3,350,12,2014
"179757","Zona_27","Area_73","Sottoarea_141","Prodotto_1","2015-06-21",1,"Zona_27-Area_73-Sottoarea_141",21,1,172,6,2015
"100852","Zona_19","Area_52","Sottoarea_116","Prodotto_2","2016-03-12",1,"Zona_19-Area_52-Sottoarea_116",12,7,72,3,2016
"226594","Zona_7","Area_16","Sottoarea_100","Prodotto_1","2015-01-29",6,"Zona_7-Area_16-Sottoarea_100",29,5,29,1,2015
"25432","Zona_12","Area_31","Sottoarea_43","Prodotto_2","2014-07-21",5,"Zona_12-Area_31-Sottoarea_43",21,2,202,7,2014
"182849","Zona_27","Area_73","Sottoarea_143","Prodotto_1","2014-05-29",5,"Zona_27-Area_73-Sottoarea_143",29,5,149,5,2014
"31042","Zona_13","Area_33","Sottoarea_10","Prodotto_2","2015-08-15",0,"Zona_13-Area_33-Sottoarea_10",15,7,227,8,2015
"7934","Zona_10","Area_23","Sottoarea_22","Prodotto_2","2014-04-14",1,"Zona_10-Area_23-Sottoarea_22",14,2,104,4,2014
"86385","Zona_18","Area_48","Sottoarea_108","Prodotto_2","2014-09-12",1,"Zona_18-Area_48-Sottoarea_108",12,6,255,9,2014
"83527","Zona_17","Area_47","Sottoarea_102","Prodotto_1","2014-01-07",5,"Zona_17-Area_47-Sottoarea_102",7,3,7,1,2014
"236741","Zona_8","Area_20","Sottoarea_56","Prodotto_1","2014-04-11",0,"Zona_8-Area_20-Sottoarea_56",11,6,101,4,2014
"160642","Zona_23","Area_64","Sottoarea_128","Prodotto_1","2015-07-16",1,"Zona_23-Area_64-Sottoarea_128",16,5,197,7,2015
"201910","Zona_4","Area_8","Sottoarea_39","Prodotto_1","2014-03-11",5,"Zona_4-Area_8-Sottoarea_39",11,3,70,3,2014
"146217","Zona_22","Area_70","Sottoarea_134","Prodotto_1","2014-02-26",1,"Zona_22-Area_70-Sottoarea_134",26,4,57,2,2014
"233217","Zona_8","Area_19","Sottoarea_54","Prodotto_1","2014-02-26",4,"Zona_8-Area_19-Sottoarea_54",26,4,57,2,2014
"91259","Zona_18","Area_49","Sottoarea_111","Prodotto_1","2016-02-18",15,"Zona_18-Area_49-Sottoarea_111",18,5,49,2,2016
"104656","Zona_19","Area_53","Sottoarea_119","Prodotto_1","2014-09-13",0,"Zona_19-Area_53-Sottoarea_119",13,7,256,9,2014
"72940","Zona_16","Area_43","Sottoarea_49","Prodotto_2","2015-12-31",0,"Zona_16-Area_43-Sottoarea_49",31,5,365,12,2015
"89576","Zona_18","Area_49","Sottoarea_110","Prodotto_1","2016-04-15",3,"Zona_18-Area_49-Sottoarea_110",15,6,106,4,2016
